price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
,,Bratislava III Nové Mesto,Modranská,407,,False,,,Rodinný dom,predaj,False,False,,583,279
695000,29142,Bernolákovo,Hlavná,238,,False,,Novostavba,Rodinný dom,predaj,False,False,,1298,
589900,31722,Bernolákovo,Dunajská,186,,False,,Novostavba,Rodinný dom,predaj,False,False,,500,
489900,29342,Senec,Fialková,167,,False,,Novostavba,Rodinný dom,predaj,False,False,,603,152
280000,20702,Rajka,Rajka,135,,False,,Novostavba,Rodinný dom,predaj,False,False,,869,205
292600,22862,Bernolákovo,Chmeľová,128,,False,,Novostavba,Rodinný dom,predaj,False,False,,400,80
249000,13832,Senec,Fučíkova,180,,False,,,Rodinný dom,predaj,False,False,,220,110
119000,757962,Vieska,Hlavná ulica,157,,False,,,Rodinný dom,predaj,False,False,,996,177
330000,27422,Marianka,Lúčna,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,267,
620000,37802,Bratislava IV Devínska Nová Ves,Ľubovníková,164,,False,,,Rodinný dom,predaj,False,False,,559,
739000,61582,Bratislava V Petržalka,Žltá,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,240,
299900,16662,Bratislava IV Devínska Nová Ves,Zavadilova,180,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,846,
,,Lozorno,Zohorská,300,,False,,,Rodinný dom,predaj,False,False,,248,187
295000,10852,Banská Bystrica časť Šalková,Hronská,271,,False,,,Rodinný dom,predaj,False,False,,600,
249500,20282,Banská Bystrica,Kremnička,123,,False,,,Rodinný dom,predaj,False,False,,912,110
194990,23492,Gajary,Gajary,83,,False,,Novostavba,Rodinný dom,predaj,False,False,,440,100
1268100,33912,Bratislava III Nové Mesto,Svätovavrinecká,374,,False,,Novostavba,Rodinný dom,predaj,False,False,,260,
299000,30862,Chorvátsky Grob,Jastrabia,96,,False,,Novostavba,Rodinný dom,predaj,False,False,,330,118
